drug_name,type,people_name
地高辛,慎用,哺乳期妇女
地高辛,慎用,新生儿
地高辛,慎用,早产儿
地高辛,慎用,未成熟儿
地高辛,慎用,老年人
毒毛花苷K,慎用,哺乳期妇女
毒毛花苷K,慎用,新生儿
毒毛花苷K,慎用,早产儿
毒毛花苷K,慎用,未成熟儿
毒毛花苷K,慎用,老年人
毛花苷丙,慎用,哺乳期妇女
毛花苷丙,慎用,新生儿
毛花苷丙,慎用,早产儿
毛花苷丙,慎用,未成熟儿
毛花苷丙,慎用,老年人
去乙酰毛花苷,慎用,哺乳期妇女
去乙酰毛花苷,慎用,新生儿
去乙酰毛花苷,慎用,早产儿
去乙酰毛花苷,慎用,未成熟儿
去乙酰毛花苷,慎用,老年人
米力农,慎用,孕妇
米力农,慎用,儿童
米力农,慎用,哺乳期妇女
奎尼丁,慎用,妊娠期妇女
奎尼丁,慎用,哺乳期妇女
普鲁卡因胺,慎用,妊娠期妇女
普鲁卡因胺,慎用,哺乳期妇女
普鲁卡因胺,慎用,过敏患者
丙吡胺,慎用,妊娠期妇女
丙吡胺,慎用,哺乳期妇女
丙吡胺,慎用,过敏患者
丙吡胺,慎用,老年人
利多卡因,慎用,孕妇
利多卡因,慎用,新生儿
利多卡因,慎用,老年人
美西律,慎用,老年人
阿普林定,慎用,孕妇
阿普林定,慎用,哺乳期妇女
阿普林定,慎用,儿童
阿普林定,慎用,老年人
普罗帕酮,慎用,孕妇
普罗帕酮,慎用,哺乳期妇女
普罗帕酮,慎用,老年人
胺碘酮,慎用,老年人
维拉帕米,慎用,孕妇
维拉帕米,慎用,老年人
腺苷,慎用,孕妇
腺苷,慎用,哺乳期妇女
硝普钠,慎用,老年人
二氮嗪,慎用,过敏患者
二氮嗪,慎用,儿童
二氮嗪,慎用,老年人
肼屈嗪,慎用,老年人
肼屈嗪,慎用,孕妇
肼屈嗪,慎用,哺乳期妇女
米诺地尔 ,慎用,孕妇
米诺地尔 ,慎用,哺乳期妇女
米诺地尔 ,慎用,老年人
乌拉地尔,慎用,孕妇
乌拉地尔,慎用,老年人
哌唑嗪,慎用,老年人
酚苄明,慎用,哺乳期妇女
酚苄明,慎用,老年人
酚苄明,慎用,妊娠期妇女
酚妥拉明,慎用,哺乳期妇女
酚妥拉明,慎用,老年人
酚妥拉明,慎用,妊娠期妇女
可乐定,慎用,哺乳期妇女
可乐定,慎用,老年人
可乐定,慎用,妊娠期妇女
甲基多巴,慎用,哺乳期妇女
甲基多巴,慎用,老年人
利血平,慎用,哺乳期妇女
利血平,慎用,老年人
利血平,慎用,妊娠期妇女
利血平,慎用,儿童
利血平,慎用,过敏患者
降压灵,慎用,老年人
硝酸甘油,慎用,妊娠期妇女
硝酸甘油,慎用,哺乳期妇女
亚硝酸异戊酯,慎用,老年人
曲美他嗪,慎用,妊娠期妇女
曲美他嗪,慎用,哺乳期妇女
三磷酸腺苷,慎用,老年人
阿托伐他汀,慎用,妊娠期妇女
阿托伐他汀,慎用,儿童
普伐他汀,慎用,未成年人
氟伐他汀,慎用,未成年人
瑞舒伐他汀,慎用,老年人
洛伐他汀,慎用,儿童
苯扎贝特,慎用,妊娠期妇女
苯扎贝特,慎用,哺乳期妇女
苯扎贝特,慎用,儿童
烟酸,慎用,孕妇
烟酸,慎用,哺乳期妇女
普罗布考,慎用,孕妇
普罗布考,慎用,哺乳期妇女
普罗布考,慎用,儿童
依折麦布,慎用,孕妇
依折麦布,慎用,哺乳期妇女
依折麦布,慎用,儿童
