drug_name,type,symptom_name
地高辛,慎用,低钾血症
地高辛,慎用,不完全性房室传导阻滞
地高辛,慎用,高钙血症
地高辛,慎用,甲状腺功能低下
地高辛,慎用,缺血性心脏病
地高辛,慎用,急性心肌梗死早期
地高辛,慎用,活动性心肌炎
地高辛,慎用,肾功能不全
毒毛花苷K,慎用,低钾血症
毒毛花苷K,慎用,不完全性房室传导阻滞
毒毛花苷K,慎用,高钙血症
毒毛花苷K,慎用,甲状腺功能低下
毒毛花苷K,慎用,缺血性心脏病
毒毛花苷K,慎用,急性心肌梗死早期
毒毛花苷K,慎用,活动性心肌炎
毒毛花苷K,慎用,肾功能不全
毛花苷丙,慎用,低钾血症
毛花苷丙,慎用,不完全性房室传导阻滞
毛花苷丙,慎用,高钙血症
毛花苷丙,慎用,甲状腺功能低下
毛花苷丙,慎用,缺血性心脏病
毛花苷丙,慎用,急性心肌梗死早期
毛花苷丙,慎用,活动性心肌炎
毛花苷丙,慎用,肾功能不全
去乙酰毛花苷,慎用,低钾血症
去乙酰毛花苷,慎用,不完全性房室传导阻滞
去乙酰毛花苷,慎用,高钙血症
去乙酰毛花苷,慎用,甲状腺功能低下
去乙酰毛花苷,慎用,缺血性心脏病
去乙酰毛花苷,慎用,急性心肌梗死早期
去乙酰毛花苷,慎用,活动性心肌炎
去乙酰毛花苷,慎用,肾功能不全
米力农,慎用,肝肾功能损害
米力农,慎用,低血压
米力农,慎用,心动过速
米力农,慎用,急性心肌梗死
米力农,慎用,急性缺血性心脏病
米力农,慎用,心房颤动
米力农,慎用,心房扑动
奎尼丁,慎用,肝功能不全
奎尼丁,慎用,肾功能异常
普鲁卡因胺,慎用,支气管哮喘
普鲁卡因胺,慎用,肝肾功能障碍
普鲁卡因胺,慎用,低血压
普鲁卡因胺,慎用,心脏收缩功能降低
丙吡胺,慎用,肝功能不全
丙吡胺,慎用,肾功能受损
丙吡胺,慎用,I度房室传导阻滞
丙吡胺,慎用,肾功能衰竭
丙吡胺,慎用,充血性心力衰竭
丙吡胺,慎用,心力衰竭
丙吡胺,慎用,广泛心肌损害
丙吡胺,慎用,低血压
丙吡胺,慎用,肝功能受损
丙吡胺,慎用,低钾血症
丙吡胺,慎用,心肌病
丙吡胺,慎用,心功能不全
安他唑啉,慎用,器质性心脏病
安他唑啉,慎用,心输出量不足
利多卡因,慎用,肝功能不全
利多卡因,慎用,肝血流降低
利多卡因,慎用,肾功能不全
利多卡因,慎用,充血性心力衰竭
利多卡因,慎用,严重心肌受损
利多卡因,慎用,低血容量
利多卡因,慎用,休克
美西律,慎用,低血压
美西律,慎用,严重充血性心力衰竭
