product_id,type,use_id
2001,用法,0001
2002,用法,0002
2003,用法,0003
2004,用法,0004
2005,用法,0048
2006,用法,0005
2007,用法,0005
2008,用法,0005
2009,用法,0005
2010,用法,0006
2011,用法,0007
2012,用法,0008
2013,用法,0009
2014,用法,0010
2015,用法,0011
2015,用法,0012
2016,用法,0013
2017,用法,0013
2018,用法,0014
2019,用法,0015
2020,用法,0016
2021,用法,0016
2022,用法,0017
2023,用法,0018
2024,用法,0019
2025,用法,0019
2026,用法,0020
2027,用法,0021
2028,用法,0022
2029,用法,0022
2030,用法,0022
2031,用法,0023
2032,用法,0023
2033,用法,0024
2034,用法,0025
2035,用法,0027
2036,用法,0028
2037,用法,0029
2038,用法,0030
2039,用法,0031
2040,用法,0031
2041,用法,0032
2042,用法,0032
2043,用法,0032
2044,用法,0032
2045,用法,0032
2046,用法,0033
2047,用法,0034
2048,用法,0035
2049,用法,0036
2050,用法,0036
2051,用法,0037
2052,用法,0038
2053,用法,0038
2054,用法,0038
2055,用法,0038
2056,用法,0038
2057,用法,0039
2058,用法,0040
2059,用法,0041
2060,用法,0042
2061,用法,0043
2062,用法,0044
2063,用法,0044
2064,用法,0045
2065,用法,0046
2066,用法,0046
2067,用法,0046
2068,用法,0047
2069,用法,0049
2070,用法,0050
2071,用法,0050
2072,用法,0050
2073,用法,0051
2074,用法,0051
2075,用法,0054
2076,用法,0052
2077,用法,0053
2078,用法,0053
2079,用法,0053
2080,用法,0055
2081,用法,0055
2082,用法,0055
2083,用法,0055
2084,用法,0055
2085,用法,0056
2086,用法,0056
2087,用法,0056
2088,用法,0056
2089,用法,0057
2090,用法,0058
2091,用法,0058
2092,用法,0058
2093,用法,0058
2094,用法,0059
2095,用法,0059
2096,用法,0060
2097,用法,0060
2098,用法,0060
2099,用法,0061
2100,用法,0061
2101,用法,0061
2102,用法,0061
2103,用法,0062
2104,用法,0062
2105,用法,0063
2106,用法,0064
2107,用法,0064
2108,用法,0065
2109,用法,0065
2110,用法,0066
2111,用法,0066
2112,用法,0066
2113,用法,0067
2114,用法,0067
2115,用法,0067
2116,用法,0068
2117,用法,0069
2118,用法,0070
2119,用法,0070
2120,用法,0071
2121,用法,0071
2122,用法,0072
2123,用法,0072
2124,用法,0072
2125,用法,0073
2126,用法,0073
2127,用法,0074
2128,用法,0075
2129,用法,0075
2130,用法,0076
2131,用法,0077
