drug_name,type,symptom_name
地高辛,禁用,室性心动过速
地高辛,禁用,心室颤动
地高辛,禁用,肥厚型梗阻性心肌病
地高辛,禁用,心房颤动
地高辛,禁用,心房扑动
毛花苷丙,禁用,室性心动过速
毛花苷丙,禁用,心室颤动
毛花苷丙,禁用,肥厚型梗阻性心肌病
毛花苷丙,禁用,心房颤动
毛花苷丙,禁用,心房扑动
去乙酰毛花苷,禁用,室性心动过速
去乙酰毛花苷,禁用,心室颤动
去乙酰毛花苷,禁用,肥厚型梗阻性心肌病
去乙酰毛花苷,禁用,心房颤动
去乙酰毛花苷,禁用,心房扑动
奎尼丁,禁用,血小板减少性紫癜
奎尼丁,禁用,病窦综合征
奎尼丁,禁用,房室传导阻滞
普鲁卡因胺,禁用,病态窦房结综合征
普鲁卡因胺,禁用,地高辛中毒
普鲁卡因胺,禁用,红斑狼疮
普鲁卡因胺,禁用,低钾血症
普鲁卡因胺,禁用,重症肌无力
普鲁卡因胺,禁用,II度房室传导阻滞
普鲁卡因胺,禁用,III度房室传导阻滞
丙吡胺,禁用,II度房室传导阻滞
丙吡胺,禁用,III度房室传导阻滞
丙吡胺,禁用,双束支传导阻滞
丙吡胺,禁用,病态窦房结综合征
丙吡胺,禁用,心源性休克
丙吡胺,禁用,青光眼
丙吡胺,禁用,尿潴留
丙吡胺,禁用,重症肌无力
利多卡因,禁用,阿－斯综合征
利多卡因,禁用,预激综合征
利多卡因,禁用,窦房传导阻滞
利多卡因,禁用,房室传导阻滞
利多卡因,禁用,心室内传导阻滞
美西律,禁用,心源性休克
美西律,禁用,II度房室传导阻滞
美西律,禁用,III度房室传导阻滞
美西律,禁用,病窦综合征
阿普林定,禁用,重度房室传导阻滞
阿普林定,禁用,中度房室传导阻滞
阿普林定,禁用,重度室内传导阻滞
阿普林定,禁用,癫痫
阿普林定,禁用,黄疸
阿普林定,禁用,血象异常
阿普林定,禁用,严重心功能不全
普罗帕酮,禁用,窦房结功能障碍
普罗帕酮,禁用,房室传导阻滞
普罗帕酮,禁用,双束支传导阻滞
普罗帕酮,禁用,充血性心力衰竭
普罗帕酮,禁用,心源性休克
普罗帕酮,禁用,低血压
莫雷西嗪,禁用,II度房室传导阻滞
莫雷西嗪,禁用,III度房室传导阻滞
莫雷西嗪,禁用,心源性休克
莫雷西嗪,禁用,双束支传导阻滞
胺碘酮,禁用,窦性心动过缓
胺碘酮,禁用,窦房阻滞
胺碘酮,禁用,病窦综合征
胺碘酮,禁用,严重房室传导异常
胺碘酮,禁用,甲状腺功能异常
溴苄铵,禁用,低血压
维拉帕米,禁用,急性心肌梗死
维拉帕米,禁用,心动过缓
维拉帕米,禁用,低血压
维拉帕米,禁用,左心衰竭
维拉帕米,禁用,心源性休克
维拉帕米,禁用,病态窦房结综合征
维拉帕米,禁用,心脏传导功能障碍
维拉帕米,禁用,窦房传导阻滞
维拉帕米,禁用,II度房室传导阻滞
维拉帕米,禁用,III度房室传导阻滞
维拉帕米,禁用,预激综合征
维拉帕米,禁用,心房扑动
维拉帕米,禁用,心房纤颤
维拉帕米,禁用,充血性心力衰竭
腺苷,禁用,II度房室传导阻滞
腺苷,禁用,III度房室传导阻滞
腺苷,禁用,病窦综合征
腺苷,禁用,心房颤动
腺苷,禁用,支气管狭窄
腺苷,禁用,支气管痉挛
硝普钠,禁用,代偿性高血压
硝普钠,禁用,动静脉分流
硝普钠,禁用,主动脉缩窄
二氮嗪,禁用,过敏患者
二氮嗪,禁用,充血性心力衰竭
二氮嗪,禁用,糖尿病
二氮嗪,禁用,重型高血压
肼屈嗪,禁用,主动脉瘤
肼屈嗪,禁用,脑中风
肼屈嗪,禁用,严重肾功能不全
乌拉地尔,禁用,主动脉峡部狭窄
乌拉地尔,禁用,动静脉分流
酚苄明,禁用,低血压
酚苄明,禁用,心绞痛
酚苄明,禁用,心肌梗死
酚苄明,禁用,过敏患者
酚妥拉明,禁用,低血压
酚妥拉明,禁用,心肌梗死
酚妥拉明,禁用,冠脉功能不全
酚妥拉明,禁用,心绞痛
酚妥拉明,禁用,冠心病
酚妥拉明,禁用,胃炎
酚妥拉明,禁用,消化性溃疡
酚妥拉明,禁用,动脉硬化
酚妥拉明,禁用,肝功能不全
酚妥拉明,禁用,肾功能不全
妥拉唑林,禁用,缺血性心脏病
妥拉唑林,禁用,低血压
妥拉唑林,禁用,脑血管意外
可乐定,禁用,低压性青光眼
甲基多巴,禁用,活动性肝脏疾病
甲基多巴,禁用,Coombs试验阳性
利血平,禁用,溃疡性结肠炎
利血平,禁用,抑郁症
硝酸甘油,禁用,心肌梗死早期
硝酸甘油,禁用,严重贫血
硝酸甘油,禁用,青光眼
硝酸甘油,禁用,颅内压增高
硝酸甘油,禁用,肥厚性梗阻型心肌病
亚硝酸异戊酯,禁用,青光眼
亚硝酸异戊酯,禁用,脑外伤
亚硝酸异戊酯,禁用,脑出血
三磷酸腺苷,禁用,病态窦房结综合征
三磷酸腺苷,禁用,窦房结功能不全
辛伐他汀,禁用,活动性肝脏疾病
辛伐他汀,禁用,转氨酶升高
阿托伐他汀,禁用,活动性肝脏疾病
阿托伐他汀,禁用,肌病
普伐他汀,禁用,活动性肝脏疾病
氟伐他汀,禁用,活动性肝脏疾病
氟伐他汀,禁用,严重肾功能不全
氟伐他汀,禁用,氨基转移酶升高
瑞舒伐他汀,禁用,活动性肝脏疾病
瑞舒伐他汀,禁用,严重肾功能损害
瑞舒伐他汀,禁用,肌病
洛伐他汀,禁用,活动性肝脏疾病
洛伐他汀,禁用,转氨酶升高
非诺贝特,禁用,肝功能不全
非诺贝特,禁用,肾功能不全
非诺贝特,禁用,胆囊疾病
非诺贝特,禁用,胆石症
非诺贝特,禁用,原发性胆汁性肝硬化
非诺贝特,禁用,肝功能异常
苯扎贝特,禁用,胆囊疾病
苯扎贝特,禁用,胆石症
苯扎贝特,禁用,原发性胆汁性肝硬化
苯扎贝特,禁用,严重肝功能不全
苯扎贝特,禁用,严重肾功能不全
吉非罗齐,禁用,胆囊疾病
吉非罗齐,禁用,胆石症
吉非罗齐,禁用,原发性胆汁性肝硬化
吉非罗齐,禁用,严重肝肾功能不全
烟酸,禁用,肝功能损害
烟酸,禁用,活动性消化性溃疡
烟酸,禁用,动脉出血
阿昔莫司,禁用,消化性溃疡
普罗布考,禁用,心肌损害
普罗布考,禁用,心肌梗死
普罗布考,禁用,严重室性心律失常
普罗布考,禁用,心源性晕厥
普罗布考,禁用,血镁过低
普罗布考,禁用,血钾过低
依折麦布,禁用,活动性肝病
