use_id,useage,people,frequency,consumption,notes
0001,口服,成人,一日1次,0.125～0.5mg,儿童一日总量：早产儿按体重0.02～0.03mg/kg；1月以下新生儿按体重0.03～0.04mg/kg；1月～2岁，按体重0.05～0.06mg/kg；2～5岁，按体重0.03～0.04mg/kg；5～10岁，按体重0.02～0.035mg/kg；10岁或10岁以上，照成人常用量。总量分3次或每6～8小时1次给予，维持剂量为总量的1/5～1/3，分2次，每12小时1次或一日1次。
0002,静脉注射,成人,一日1次,0.25～0.5mg,用5%葡萄糖注射液稀释后缓慢注射，以后可用0.25mg，每隔4～6小时按需注射，但一日总量不超过1mg；儿童按下列剂量分3次或每6～8小时给予。早产新生儿按体重 0.015～0.025mg/kg；足月新生儿按体重0.02～0.03mg/kg；1月～2岁按体重0.04～0.05mg/kg；2～5岁按体重 0.025～0.035mg/kg；5～10岁按体重0.015～0.03mg/kg；10岁或10岁以上照成人常用量。
0003,静脉注射,成人,一日2次,0.125～0.25mg,成人常用量，首剂0.125～0.25mg，加入5%葡萄糖注射液20～40ml后缓慢注入，时间不少于5分钟，按需要可2小时后重复一次0.125～0.25mg，总剂量一日0.25～0.5mg。极量一次0.5mg，一日1mg。病情好转后，可改用洋地黄口服制剂与规格。儿童常用量一日按体重0.007～0.01mg/kg或按体表面积0.3mg/m2，首剂给予一半剂量，其余分成几个相等部分，间隔0.5～2小时给予。
0004,静脉注射,成人,一日1次,0.2～0.4mg,首剂0.4～0.6mg，用5％葡萄糖注射液20ml稀释后缓慢注射，需要时可2～4小时后再给0.2mg；维持剂量一次0.2～0.4mg，一日1次或每12小时1次。情况紧急时，0.4～0.6mg以25%葡萄糖液稀释后静脉注射(5分钟以上)，2～4小时后需要时再给0.2～0.4mg。起效后可改口服洋地黄制剂与规格。
0005,静脉注射,成人,,1.13mg/kg/日,负荷量25～75μg/kg，5～10分钟缓慢静脉注射，以后每分钟0.25～1.0μg/kg速度维持。最大剂量一日1.13mg/kg。
0006,口服,成人,一日3-4次,0.2～0.3g,餐后2小时或餐前1小时服药，并多次饮水。成人应先试服0.1～0.2g，观察有无过敏及特异质反应。成人常用量一次0.2～0.3g，一日3～4次。用于转复心房颤动或心房扑动：第一日，一次0.2g，2小时一次，连续5次；如无不良反应，第二日一次0.3g，第三日一次0.4g，约2小时一次，连续5次。一日总量不宜超过2.4 g。若连服3～4日无效或出现不良反应，应停药。恢复窦性心律后改为维持量，一次0.2～0.3g，一日2～3次。成人极量：一日3g(一般一日不宜超过2.4g)，应分次给予。
0007,口服,成人,每4小时一次,0.25～0.5g,口服：一次0.25～0.5g，每4小时一次。
0008,静脉注射,成人,,0.1g,静脉注射：一次0.1g，静脉注射时间5分钟，必要时每隔5～10分钟重复一次，总量按体重不得超过10～15mg/kg；或者10～15mg/kg静脉滴注1小时，然后以每小时按体重1.5～2mg/kg维持。小儿常用量尚未确定，可参考以下资料：按体重3～6mg/kg，静注5分钟，静滴维持量为每分钟按体重0.025～0.05mg／kg
0009,口服,成人,每6小时一次,0.1～0.15g,成人首剂0.2g，以后一次0.1～0.15g，每6小时一次。应根据需要及耐受程度调整用量。
0010,口服,成人,一日3-4次,0.1～0.2g,口服：一次0.1～0.2g，一日3～4次，餐后服用
